,Property Domain_v3_07092025,,,,,
,"CoreLogic, Inc. d/b/a Cotality",,,,,
,© 2025 Cotality. All Rights Reserved.,,,,,
,Confidential information.,,,,,
,,,,,,
FIELD #,FIELD NAME,TYPE,TABLE,MAX LENGTH,DECIMAL,FIELD DEFINITION
CLIP V2,,,,,,
1,CLIP,AlphaNumeric,,10,,Unique identification number assigned to each property.
PROPERTY ID V3,,,,,,
2,CORELOGIC COUNTY CODE,AlphaNumeric,,5,,"A CoreLogic defined, persistent, 5-digit code that uniquely defines every county or county equivalent. In some cases, the CoreLogic County Code is based on FIPS code but may represent a prior version."
3,APN (PARCEL NUMBER UNFORMATTED),AlphaNumeric,,45,,Assessor's Parcel Number in an unformatted form. This is most often used by the county and others as a unique key.
4,APN SEQUENCE NUMBER,Numeric,,3,,This internal sequence number is used to ensure uniqueness of the Assessor's Parcel Number.
5,COMPOSITE PROPERTY LINKAGE KEY,AlphaNumeric,,53,,"Unique property key, which can be used to link to other files associated with property (used in Legacy Product).   This is a fixed-width field, with the APN component padded with blanks out to 45 characters within the composite key."
6,FIPS COUNTY CODE,AlphaNumeric,,5,,The current 5-digit Federal Information Processing Series codes used nationally that uniquely defines every county or county equivalent.
7,ORIGINAL APN,AlphaNumeric,,45,,Original Assessors Parcel Number (APN) in raw format provided on the assessor tax roll. Used if a county renumbers or changes their parcel IDs.
8,TAX ACCOUNT NUMBER,AlphaNumeric,,60,,"The county or source number used primarily for billing. Note: this number is typically not unique to a parcel, but rather to a tax bill (multiple parcels can be combined on 1 bill)."
9,ONLINE FORMATTED PARCEL ID,AlphaNumeric,,60,,APN that would link to CoreLogic online products.
10,ALTERNATE PARCEL ID,AlphaNumeric,,60,,An Alternate ID provided by some counties that can be used to identify a property.
PROPERTY ID LINEAGE,,,,,,
11,PREVIOUS PARCEL NUMBER,AlphaNumeric,,45,,"The prior parcel number if the county changed the number in the last year.  Otherwise, the field will be empty.  Always used in combination with PREVIOUS PARCEL SEQUENCE NUMBER."
12,PREVIOUS PARCEL SEQUENCE NUMBER,Numeric,,3,,Sequence number used in combination with PREVIOUS PARCEL NUMBER to make it unique.
13,PREVIOUS PARCEL NUMBER FORMATTED,AlphaNumeric,,60,,"Most recent previous parcel number, segmented by dashes and periods.  Unlike PREVIOUS PARCEL NUMBER that is only populated in the year after the parcel ID change, this field will contain the Previous Parcel Number no matter how long ago the parcel change occurred."
LOCATION V3,,,,,,
14,CENSUS ID,AlphaNumeric,,10,,"Comprised of Census Tract, Census Block Group, Census Block, and Census Block Suffix. These numbers are established by the US Department of Commerce (Bureau Of The Census)."
15,RANGE,AlphaNumeric,,3,,"The ""range"" portion of geographical coordinates based on local surveys. Ranges typically run east or west of pre-determined ""meridian"" in six mile intervals."
16,TOWNSHIP,AlphaNumeric,,3,,"The ""township"" portion of geographical coordinates based on local surveys. Townships typically run north or south of pre-determined ""meridian"" in six mile intervals."
17,SECTION,AlphaNumeric,,3,,"The ""section"" portion of geographical coordinates based on local surveys. Sections are 1 square mile and there are 36 sections within the intersection of a Range / Township."
18,QUARTER SECTION,AlphaNumeric,,3,,"A section that has been divided into four ""sub"" sections (e.g., NE, NW, SE, SW)."
19,MUNICIPALITY NAME,AlphaNumeric,,30,,Name of the Municipality where parcel is located.
